Title,Rating,Information
Death Note,8.63,"        TV (37 eps)        Oct 2006 - Jun 2007        2,861,284 members      "
Shingeki no Kyojin Season 3,8.63,"        TV (12 eps)        Jul 2018 - Oct 2018        1,474,433 members      "
Mushishi Zoku Shou: Suzu no Shizuku,8.62,"        Movie (1 eps)        May 2015 - May 2015        102,022 members      "
Ookami Kodomo no Ame to Yuki,8.62,"        Movie (1 eps)        Jul 2012 - Jul 2012        652,526 members      "
Ping Pong the Animation,8.62,"        TV (11 eps)        Apr 2014 - Jun 2014        289,669 members      "
Yakusoku no Neverland,8.61,"        TV (12 eps)        Jan 2019 - Mar 2019        1,328,495 members      "
Kizumonogatari II: Nekketsu-hen,8.61,"        Movie (1 eps)        Aug 2016 - Aug 2016        333,204 members      "
Yojouhan Shinwa Taikei,8.6,"        TV (11 eps)        Apr 2010 - Jul 2010        333,653 members      "
Natsume Yuujinchou San,8.59,"        TV (13 eps)        Jul 2011 - Sep 2011        209,295 members      "
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.59,"        TV (12 eps)        Jan 2021 - Mar 2021        503,040 members      "
Shouwa Genroku Rakugo Shinjuu,8.59,"        TV (13 eps)        Jan 2016 - Apr 2016        236,843 members      "
Fate/Zero 2nd Season,8.59,"        TV (12 eps)        Apr 2012 - Jun 2012        868,317 members      "
Hajime no Ippo: Rising,8.59,"        TV (25 eps)        Oct 2013 - Mar 2014        187,098 members      "
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,"        TV (39 eps)        Oct 2018 - Jul 2019        623,906 members      "
Kimetsu no Yaiba,8.59,"        TV (26 eps)        Apr 2019 - Sep 2019        1,744,501 members      "
Kimi no Suizou wo Tabetai,8.59,"        Movie (1 eps)        Sep 2018 - Sep 2018        541,272 members      "
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.58,"        Movie (1 eps)        Jan 2019 - Jan 2019        239,857 members      "
Natsume Yuujinchou Go,8.58,"        TV (11 eps)        Oct 2016 - Dec 2016        144,023 members      "
Mushishi: Hihamukage,8.57,"        Special (1 eps)        Jan 2014 - Jan 2014        111,321 members      "
