Title,Rating,Information
Magi: The Kingdom of Magic,8.26,"        TV (25 eps)        Oct 2013 - Mar 2014        679,790 members      "
Major S1,8.26,"        TV (26 eps)        Nov 2004 - May 2005        83,918 members      "
Major S3,8.26,"        TV (26 eps)        Jan 2007 - Jun 2007        58,498 members      "
Detective Conan: Episode One - The Great Detective Turned Small,8.25,"        Special (1 eps)        Dec 2016 - Dec 2016        23,724 members      "
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,"        TV (26 eps)        Apr 2011 - Sep 2011        148,308 members      "
Hachimitsu to Clover II,8.25,"        TV (12 eps)        Jun 2006 - Sep 2006        93,062 members      "
Horimiya,8.25,"        TV (13 eps)        Jan 2021 - Apr 2021        648,393 members      "
Kuroshitsuji Movie: Book of the Atlantic,8.25,"        Movie (1 eps)        Jan 2017 - Jan 2017        145,222 members      "
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,"        Special (1 eps)        Dec 2015 - Dec 2015        193,026 members      "
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.25,"        TV (13 eps)        Apr 2015 - Jun 2015        790,095 members      "
Non Non Biyori Movie: Vacation,8.24,"        Movie (1 eps)        Aug 2018 - Aug 2018        51,840 members      "
Shokugeki no Souma,8.24,"        TV (24 eps)        Apr 2015 - Sep 2015        1,277,333 members      "
SKET Dance,8.24,"        TV (77 eps)        Apr 2011 - Sep 2012        192,319 members      "
Wu Liuqi Zhi Zui Qiang Fa Xing Shi,8.24,"        ONA (10 eps)        Oct 2019 - Jan 2020        17,850 members      "
xxxHOLiC Kei,8.24,"        TV (13 eps)        Apr 2008 - Jun 2008        120,071 members      "
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.24,"        Movie (1 eps)        Oct 2017 - Oct 2017        304,471 members      "
Initial D Final Stage,8.24,"        TV (4 eps)        May 2014 - Jun 2014        94,291 members      "
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.24,"        Movie (1 eps)        Oct 2012 - Oct 2012        167,098 members      "
Detective Conan Movie 13: The Raven Chaser,8.23,"        Movie (1 eps)        Apr 2009 - Apr 2009        47,669 members      "
Diamond no Ace: Act II,8.23,"        TV (52 eps)        Apr 2019 - Mar 2020        60,676 members      "
Hajime no Ippo: Mashiba vs. Kimura,8.23,"        OVA (1 eps)        Sep 2003 - Sep 2003        81,754 members      "
Kono Sekai no Katasumi ni,8.23,"        Movie (1 eps)        Nov 2016 - Nov 2016        134,366 members      "
Majo no Takkyuubin,8.23,"        Movie (1 eps)        Jul 1989 - Jul 1989        412,439 members      "
Major S2,8.23,"        TV (26 eps)        Dec 2005 - Jun 2006        60,756 members      "
Major S4,8.23,"        TV (26 eps)        Jan 2008 - Jun 2008        55,348 members      "
Mimi wo Sumaseba,8.23,"        Movie (1 eps)        Jul 1995 - Jul 1995        246,577 members      "
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,"        TV (25 eps)        Oct 2016 - Apr 2017        104,829 members      "
Trigun,8.23,"        TV (26 eps)        Apr 1998 - Sep 1998        588,140 members      "
ReLIFE: Kanketsu-hen,8.22,"        Special (4 eps)        Mar 2018 - Mar 2018        266,906 members      "
Toaru Kagaku no Railgun T,8.22,"        TV (25 eps)        Jan 2020 - Sep 2020        159,356 members      "
Wu Liuqi Zhi Xuanwu Guo Pian,8.22,"        ONA (10 eps)        Jan 2021 - May 2021        7,451 members      "
xxxHOLiC Rou,8.22,"        OVA (2 eps)        Apr 2010 - Mar 2011        59,247 members      "
Yoru wa Mijikashi Arukeyo Otome,8.22,"        Movie (1 eps)        Apr 2017 - Apr 2017        87,461 members      "
Bakuman.,8.22,"        TV (25 eps)        Oct 2010 - Apr 2011        514,548 members      "
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,"        Movie (1 eps)        Jul 2000 - Jul 2000        99,157 members      "
Chihayafuru,8.22,"        TV (25 eps)        Oct 2011 - Mar 2012        369,672 members      "
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.22,"        Movie (4 eps)        Nov 2019 - Nov 2019        16,194 members      "
Kaguya-hime no Monogatari,8.22,"        Movie (1 eps)        Nov 2013 - Nov 2013        160,290 members      "
Little Busters!: Refrain,8.22,"        TV (13 eps)        Oct 2013 - Dec 2013        138,666 members      "
Dororo,8.21,"        TV (24 eps)        Jan 2019 - Jun 2019        784,480 members      "
Douluo Dalu: Hanhai Qian Kun,8.21,"        ONA (13 eps)        Nov 2020 - Feb 2021        1,632 members      "
Douluo Dalu: Qian Hua Xi Jin,8.21,"        ONA (13 eps)        Feb 2020 - May 2020        4,368 members      "
Dr. Stone: Stone Wars,8.21,"        TV (11 eps)        Jan 2021 - Mar 2021        586,331 members      "
Fate/stay night: Unlimited Blade Works,8.21,"        TV (12 eps)        Oct 2014 - Dec 2014        801,800 members      "
Girls & Panzer Movie,8.21,"        Movie (1 eps)        Nov 2015 - Nov 2015        83,033 members      "
Golden Kamuy 2nd Season,8.21,"        TV (12 eps)        Oct 2018 - Dec 2018        127,953 members      "
Higurashi no Naku Koro ni Kai,8.21,"        TV (24 eps)        Jul 2007 - Dec 2007        404,585 members      "
InuYasha: Kanketsu-hen,8.21,"        TV (26 eps)        Oct 2009 - Mar 2010        225,463 members      "
Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.21,"        Special (1 eps)        Dec 2018 - Dec 2018        135,031 members      "
Noragami Aragoto,8.2,"        TV (13 eps)        Oct 2015 - Dec 2015        1,130,817 members      "
One Piece Movie 14: Stampede,8.2,"        Movie (1 eps)        Aug 2019 - Aug 2019        90,681 members      "
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.2,"        Special (1 eps)        Aug 2013 - Aug 2013        46,332 members      "
Senki Zesshou Symphogear XV,8.2,"        TV (13 eps)        Jul 2019 - Sep 2019        29,902 members      "
Shoujo Kakumei Utena,8.2,"        TV (39 eps)        Apr 1997 - Dec 1997        165,751 members      "
Ballroom e Youkoso,8.2,"        TV (24 eps)        Jul 2017 - Dec 2017        240,052 members      "
Berserk: Ougon Jidai-hen III - Kourin,8.2,"        Movie (1 eps)        Feb 2013 - Feb 2013        167,562 members      "
Bungou Stray Dogs 2nd Season,8.2,"        TV (12 eps)        Oct 2016 - Dec 2016        553,884 members      "
Fruits Basket 1st Season,8.2,"        TV (25 eps)        Apr 2019 - Sep 2019        460,242 members      "
Hunter x Hunter: Greed Island,8.2,"        OVA (8 eps)        Feb 2003 - Apr 2003        122,989 members      "
Liz to Aoi Tori,8.2,"        Movie (1 eps)        Apr 2018 - Apr 2018        89,981 members      "
Major: Message,8.2,"        OVA (1 eps)        Dec 2010 - Dec 2010        25,958 members      "
Aria the Natural,8.19,"        TV (26 eps)        Apr 2006 - Sep 2006        65,910 members      "
Asobi Asobase,8.19,"        TV (12 eps)        Jul 2018 - Sep 2018        315,184 members      "
Black Lagoon: The Second Barrage,8.19,"        TV (12 eps)        Oct 2006 - Dec 2006        401,370 members      "
Boku no Hero Academia 3rd Season,8.19,"        TV (25 eps)        Apr 2018 - Sep 2018        1,531,392 members      "
Bungou Stray Dogs 3rd Season,8.19,"        TV (12 eps)        Apr 2019 - Jun 2019        359,050 members      "
Death Parade,8.19,"        TV (12 eps)        Jan 2015 - Mar 2015        1,326,025 members      "
Digimon Adventure: Last Evolution Kizuna,8.19,"        Movie (1 eps)        Feb 2020 - Feb 2020        27,449 members      "
Hinamatsuri (TV),8.19,"        TV (12 eps)        Apr 2018 - Jun 2018        374,011 members      "
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.19,"        Movie (1 eps)        Apr 2015 - Apr 2015        203,092 members      "
Maison Ikkoku,8.19,"        TV (96 eps)        Mar 1986 - Mar 1988        53,972 members      "
Non Non Biyori Repeat,8.19,"        TV (12 eps)        Jul 2015 - Sep 2015        157,173 members      "
Ouran Koukou Host Club,8.19,"        TV (26 eps)        Apr 2006 - Sep 2006        888,792 members      "
Shoujo Shuumatsu Ryokou,8.19,"        TV (12 eps)        Oct 2017 - Dec 2017        244,920 members      "
Toradora!,8.19,"        TV (25 eps)        Oct 2008 - Mar 2009        1,705,334 members      "
Naruto: Shippuuden,8.18,"        TV (500 eps)        Feb 2007 - Mar 2017        1,721,318 members      "
Working!!!: Lord of the Takanashi,8.18,"        Special (1 eps)        Mar 2016 - Mar 2016        86,701 members      "
Douluo Dalu: Jingying Sai,8.18,"        ONA (52 eps)        Dec 2018 - Nov 2019        10,817 members      "
Mo Dao Zu Shi Q,8.18,"        ONA (30 eps)        Jul 2020 - Jan 2021        12,160 members      "
Akira,8.17,"        Movie (1 eps)        Jul 1988 - Jul 1988        611,986 members      "
Detective Conan Movie 20: The Darkest Nightmare,8.17,"        Movie (1 eps)        Apr 2016 - Apr 2016        30,461 members      "
Douluo Dalu: Haishen Zhi Guang,8.17,"        ONA (13 eps)        Feb 2021 - May 2021        1,797 members      "
Gankutsuou,8.17,"        TV (24 eps)        Oct 2004 - Mar 2005        203,248 members      "
Katekyo Hitman Reborn!,8.17,"        TV (203 eps)        Oct 2006 - Sep 2010        479,058 members      "
Lupin III: Part 5,8.17,"        TV (24 eps)        Apr 2018 - Sep 2018        31,242 members      "
Nisemonogatari,8.17,"        TV (11 eps)        Jan 2012 - Mar 2012        606,812 members      "
One Piece Film: Z,8.17,"        Movie (1 eps)        Dec 2012 - Dec 2012        194,624 members      "
Quanzhi Gaoshou Zhi Dianfeng Rongyao,8.17,"        Movie (1 eps)        Aug 2019 - Aug 2019        32,930 members      "
Toki wo Kakeru Shoujo,8.17,"        Movie (1 eps)        Jul 2006 - Jul 2006        651,664 members      "
No Game No Life,8.16,"        TV (12 eps)        Apr 2014 - Jun 2014        1,883,790 members      "
Nodame Cantabile: Paris-hen,8.16,"        TV (11 eps)        Oct 2008 - Dec 2008        110,257 members      "
One Piece Film: Strong World,8.16,"        Movie (1 eps)        Dec 2009 - Dec 2009        183,133 members      "
Sakura-sou no Pet na Kanojo,8.16,"        TV (24 eps)        Oct 2012 - Mar 2013        990,938 members      "
Seirei no Moribito,8.16,"        TV (26 eps)        Apr 2007 - Sep 2007        184,028 members      "
Shokugeki no Souma: Ni no Sara,8.16,"        TV (13 eps)        Jul 2016 - Sep 2016        878,484 members      "
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,"        Movie (1 eps)        Sep 2008 - Sep 2008        135,880 members      "
5-toubun no Hanayome ∬,8.16,"        TV (12 eps)        Jan 2021 - Mar 2021        377,917 members      "
Cardcaptor Sakura,8.16,"        TV (70 eps)        Apr 1998 - Mar 2000        353,770 members      "
Detective Conan,8.16,"        TV (? eps)        Jan 1996 -         269,363 members      "
Durarara!!,8.16,"        TV (24 eps)        Jan 2010 - Jun 2010        1,168,190 members      "
Eizouken ni wa Te wo Dasu na!,8.16,"        TV (12 eps)        Jan 2020 - Mar 2020        240,413 members      "
Kaiba,8.16,"        TV (12 eps)        Apr 2008 - Jul 2008        119,235 members      "
Kamisama Hajimemashita◎,8.16,"        TV (12 eps)        Jan 2015 - Mar 2015        274,669 members      "
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.16,"        Movie (1 eps)        Jul 2012 - Jul 2012        20,991 members      "
Dragon Ball Z,8.15,"        TV (291 eps)        Apr 1989 - Jan 1996        956,869 members      "
Fullmetal Alchemist,8.15,"        TV (51 eps)        Oct 2003 - Oct 2004        1,221,075 members      "
Ginga Eiyuu Densetsu Gaiden,8.15,"        OVA (24 eps)        Feb 1998 - Sep 1998        19,252 members      "
Given Movie,8.15,"        Movie (1 eps)        Aug 2020 - Aug 2020        112,667 members      "
K-On!!,8.15,"        TV (26 eps)        Apr 2010 - Sep 2010        543,070 members      "
Lupin III: Cagliostro no Shiro,8.15,"        Movie (1 eps)        Dec 1979 - Dec 1979        88,899 members      "
Tanoshii Muumin Ikka,8.15,"        TV (78 eps)        Apr 1990 - Oct 1991        19,440 members      "
Tsuki ga Kirei,8.15,"        TV (12 eps)        Apr 2017 - Jun 2017        394,007 members      "
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.14,"        Special (1 eps)        Aug 2012 - Aug 2012        54,268 members      "
Princess Tutu,8.14,"        TV (38 eps)        Aug 2002 - May 2003        135,754 members      "
Baccano! Specials,8.14,"        Special (3 eps)        Feb 2008 - May 2008        157,177 members      "
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.14,"        Movie (1 eps)        Jan 2018 - Jan 2018        178,200 members      "
Detroit Metal City,8.14,"        OVA (12 eps)        Aug 2008 - Oct 2008        181,820 members      "
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.14,"        TV (12 eps)        Apr 2020 - Jun 2020        113,660 members      "
Initial D Fourth Stage,8.14,"        TV (24 eps)        Apr 2004 - Feb 2006        127,325 members      "
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.14,"        Music (1 eps)        Dec 2003 - Dec 2003        60,614 members      "
Kono Subarashii Sekai ni Shukufuku wo!,8.14,"        TV (10 eps)        Jan 2016 - Mar 2016        1,420,973 members      "
Made in Abyss Movie 1: Tabidachi no Yoake,8.14,"        Movie (1 eps)        Jan 2019 - Jan 2019        69,755 members      "
Mobile Suit Gundam Unicorn,8.14,"        OVA (7 eps)        Mar 2010 - Jun 2014        80,359 members      "
Detective Conan Movie 05: Countdown to Heaven,8.13,"        Movie (1 eps)        Apr 2001 - Apr 2001        50,898 members      "
Detective Conan Movie 14: The Lost Ship in the Sky,8.13,"        Movie (1 eps)        Apr 2010 - Apr 2010        44,917 members      "
Douluo Dalu: Hao Tian Yang Wei,8.13,"        ONA (13 eps)        Nov 2019 - Feb 2020        4,537 members      "
Hyouka,8.13,"        TV (22 eps)        Apr 2012 - Sep 2012        1,029,591 members      "
IDOLiSH7: Second Beat!,8.13,"        TV (15 eps)        Apr 2020 - Dec 2020        17,450 members      "
Kanata no Astra,8.13,"        TV (12 eps)        Jul 2019 - Sep 2019        215,706 members      "
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.13,"        Special (1 eps)        Sep 2006 - Sep 2006        87,545 members      "
Kuragehime,8.13,"        TV (11 eps)        Oct 2010 - Dec 2010        192,434 members      "
Mahoutsukai no Yome: Hoshi Matsu Hito,8.13,"        OVA (3 eps)        Sep 2016 - Sep 2017        229,293 members      "
Mobile Suit Gundam 00,8.13,"        TV (25 eps)        Oct 2007 - Mar 2008        190,167 members      "
Pui Pui Molcar,8.13,"        TV (12 eps)        Jan 2021 - Mar 2021        7,302 members      "
Tsukimonogatari,8.13,"        TV (4 eps)        Dec 2014 - Dec 2014        337,648 members      "
Uchouten Kazoku 2,8.13,"        TV (12 eps)        Apr 2017 - Jun 2017        53,366 members      "
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.12,"        ONA (6 eps)        Dec 2019 - Dec 2019        133,136 members      "
Tsubasa: Shunraiki,8.12,"        OVA (2 eps)        Mar 2009 - May 2009        56,211 members      "
Zankyou no Terror,8.12,"        TV (11 eps)        Jul 2014 - Sep 2014        886,294 members      "
Angel Beats!,8.12,"        TV (13 eps)        Apr 2010 - Jun 2010        1,691,673 members      "
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.12,"        Movie (1 eps)        Dec 1993 - Dec 1993        27,406 members      "
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.12,"        Special (1 eps)        Nov 2015 - Nov 2015        26,574 members      "
Initial D Second Stage,8.12,"        TV (13 eps)        Oct 1999 - Jan 2000        147,157 members      "
Karakai Jouzu no Takagi-san 2,8.12,"        TV (12 eps)        Jul 2019 - Sep 2019        207,233 members      "
Kuroko no Basket,8.12,"        TV (25 eps)        Apr 2012 - Sep 2012        890,107 members      "
Ansatsu Kyoushitsu,8.11,"        TV (22 eps)        Jan 2015 - Jun 2015        1,421,376 members      "
Diamond no Ace,8.11,"        TV (75 eps)        Oct 2013 - Mar 2015        192,375 members      "
Dragon Ball Super: Broly,8.11,"        Movie (1 eps)        Dec 2018 - Dec 2018        236,862 members      "
Fate/Grand Carnival,8.11,"        OVA (4 eps)        Dec 2020 - Aug 2021        22,578 members      "
Haikyuu!! Movie 4: Concept no Tatakai,8.11,"        Movie (1 eps)        Sep 2017 - Sep 2017        46,464 members      "
Kaze Tachinu,8.11,"        Movie (1 eps)        Jul 2013 - Jul 2013        227,115 members      "
Skip Beat!,8.11,"        TV (25 eps)        Oct 2008 - Mar 2009        228,309 members      "
Tokyo Revengers,8.11,"        TV (? eps)        Apr 2021 -         301,029 members      "
Wonder Egg Priority,8.11,"        TV (12 eps)        Jan 2021 - Mar 2021        445,347 members      "
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.1,"        OVA (13 eps)        Feb 2011 - Jul 2011        62,064 members      "
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1,"        Movie (1 eps)        Apr 2016 - Apr 2016        8,545 members      "
World Trigger 2nd Season,8.1,"        TV (12 eps)        Jan 2021 - Apr 2021        78,109 members      "
Yowamushi Pedal: Grande Road,8.1,"        TV (24 eps)        Oct 2014 - Mar 2015        111,570 members      "
Darker than Black: Kuro no Keiyakusha,8.1,"        TV (25 eps)        Apr 2007 - Sep 2007        788,758 members      "
Evangelion: 3.0+1.0 Thrice Upon a Time,8.1,"        Movie (1 eps)        Mar 2021 - Mar 2021        176,817 members      "
Gin no Saji,8.1,"        TV (11 eps)        Jul 2013 - Sep 2013        241,404 members      "
Hajime no Ippo: Boxer no Kobushi,8.1,"        Special (1 eps)        Mar 2003 - Mar 2003        40,658 members      "
Hikaru no Go,8.1,"        TV (75 eps)        Oct 2001 - Mar 2003        115,278 members      "
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,"        TV (24 eps)        Apr 2014 - Sep 2014        790,476 members      "
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.1,"        OVA (1 eps)        Dec 2016 - Dec 2016        44,972 members      "
Kuroshitsuji: Book of Circus,8.1,"        TV (10 eps)        Jul 2014 - Sep 2014        316,139 members      "
Mobile Suit Gundam 00 Second Season,8.1,"        TV (25 eps)        Oct 2008 - Mar 2009        130,340 members      "
Akatsuki no Yona OVA,8.09,"        OVA (3 eps)        Sep 2015 - Dec 2016        103,486 members      "
Detective Conan Movie 08: Magician of the Silver Sky,8.09,"        Movie (1 eps)        Apr 2004 - Apr 2004        45,458 members      "
Dorohedoro,8.09,"        TV (12 eps)        Jan 2020 - Mar 2020        323,836 members      "
Durarara!!x2 Ketsu,8.09,"        TV (12 eps)        Jan 2016 - Mar 2016        314,498 members      "
Fate/stay night: Unlimited Blade Works Prologue,8.09,"        Special (1 eps)        Oct 2014 - Oct 2014        253,903 members      "
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.09,"        Movie (4 eps)        Oct 2019 - Oct 2019        15,829 members      "
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.09,"        Special (1 eps)        Apr 2015 - Apr 2015        31,593 members      "
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.09,"        Special (1 eps)        Sep 2005 - Sep 2005        46,940 members      "
Gosick,8.09,"        TV (24 eps)        Jan 2011 - Jul 2011        447,158 members      "
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.09,"        OVA (2 eps)        Nov 2013 - Nov 2013        11,399 members      "
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.09,"        Special (1 eps)        Sep 2005 - Sep 2005        35,447 members      "
Kuroko no Basket: Saikou no Present Desu,8.09,"        Special (1 eps)        Dec 2015 - Dec 2015        75,743 members      "
Kuroshitsuji: Book of Murder,8.09,"        OVA (2 eps)        Jan 2015 - Feb 2015        194,784 members      "
Mahoutsukai no Yome,8.09,"        TV (24 eps)        Oct 2017 - Mar 2018        668,364 members      "
Mirai Shounen Conan,8.09,"        TV (26 eps)        Apr 1978 - Oct 1978        37,798 members      "
Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.09,"        TV (13 eps)        Apr 2019 - Aug 2019        12,581 members      "
Omoide no Marnie,8.09,"        Movie (1 eps)        Jul 2014 - Jul 2014        207,998 members      "
Shijou Saikyou no Deshi Kenichi,8.09,"        TV (50 eps)        Oct 2006 - Sep 2007        252,675 members      "
Shokugeki no Souma: San no Sara,8.09,"        TV (12 eps)        Oct 2017 - Dec 2017        726,662 members      "
Tensei shitara Slime Datta Ken,8.09,"        TV (24 eps)        Oct 2018 - Mar 2019        869,907 members      "
Ramayana: The Legend of Prince Rama,8.08,"        Movie (1 eps)        Mar 1992 - Mar 1992        4,018 members      "
Summer Wars,8.08,"        Movie (1 eps)        Aug 2009 - Aug 2009        441,690 members      "
Yuusha-Ou GaoGaiGar Final,8.08,"        OVA (8 eps)        Jan 2000 - Mar 2003        8,065 members      "
Dennou Coil,8.08,"        TV (26 eps)        May 2007 - Dec 2007        124,437 members      "
Detective Conan Movie 18: The Sniper from Another Dimension,8.08,"        Movie (1 eps)        Apr 2014 - Apr 2014        32,979 members      "
Ginga Eiyuu Densetsu Gaiden (1999),8.08,"        OVA (28 eps)        Dec 1999 - Jul 2000        16,451 members      "
Glass no Kamen (2005),8.08,"        TV (51 eps)        Apr 2005 - Mar 2006        32,223 members      "
Kill la Kill,8.08,"        TV (24 eps)        Oct 2013 - Mar 2014        1,369,010 members      "
Koukyoushihen Eureka Seven,8.08,"        TV (50 eps)        Apr 2005 - Apr 2006        387,662 members      "
Eve no Jikan,8.07,"        ONA (6 eps)        Aug 2008 - Sep 2009        158,227 members      "
Gintama: Dai Hanseikai,8.07,"        Special (1 eps)        Mar 2010 - Mar 2010        30,246 members      "
Haikyuu!! Movie 3: Sainou to Sense,8.07,"        Movie (1 eps)        Sep 2017 - Sep 2017        48,892 members      "
Initial D Fifth Stage,8.07,"        TV (14 eps)        Nov 2012 - May 2013        100,091 members      "
Kara no Kyoukai 3: Tsuukaku Zanryuu,8.07,"        Movie (1 eps)        Feb 2008 - Feb 2008        188,687 members      "
Kuroko no Basket Movie 4: Last Game,8.07,"        Movie (1 eps)        Mar 2017 - Mar 2017        191,117 members      "
Kyou kara Ore wa!!,8.07,"        OVA (10 eps)        Dec 1992 - Dec 1997        24,566 members      "
Stand By Me Doraemon,8.07,"        Movie (1 eps)        Aug 2014 - Aug 2014        33,193 members      "
xxxHOLiC Shunmuki,8.07,"        OVA (2 eps)        Feb 2009 - Jun 2009        60,663 members      "
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.07,"        OVA (1 eps)        Oct 2016 - Oct 2016        185,979 members      "
Paprika,8.06,"        Movie (1 eps)        Nov 2006 - Nov 2006        394,126 members      "
Saiunkoku Monogatari 2nd Season,8.06,"        TV (39 eps)        Apr 2007 - Mar 2008        35,615 members      "
Tsumiki no Ie,8.06,"        Movie (1 eps)        Jun 2008 - Jun 2008        80,760 members      "
Yuukoku no Moriarty,8.06,"        TV (11 eps)        Oct 2020 - Dec 2020        203,758 members      "
Boku no Hero Academia the Movie 2: Heroes:Rising,8.06,"        Movie (1 eps)        Dec 2019 - Dec 2019        335,360 members      "
City Hunter 2,8.06,"        TV (63 eps)        Apr 1988 - Jul 1989        20,021 members      "
Detective Conan Movie 10: Requiem of the Detectives,8.06,"        Movie (1 eps)        Apr 2006 - Apr 2006        44,829 members      "
Evangelion: 1.0 You Are (Not) Alone,8.06,"        Movie (1 eps)        Sep 2007 - Sep 2007        391,081 members      "
Full Metal Panic? Fumoffu,8.06,"        TV (12 eps)        Aug 2003 - Oct 2003        261,338 members      "
Kami nomi zo Shiru Sekai: Megami-hen,8.06,"        TV (12 eps)        Jul 2013 - Sep 2013        286,286 members      "
Baby Steps 2nd Season,8.05,"        TV (25 eps)        Apr 2015 - Sep 2015        78,637 members      "
BanG Dream! 3rd Season,8.05,"        TV (13 eps)        Jan 2020 - Apr 2020        23,352 members      "
Ginga Nagareboshi Gin,8.05,"        TV (21 eps)        Apr 1986 - Aug 1986        21,966 members      "
Girls & Panzer: Saishuushou Part 2,8.05,"        Movie (1 eps)        Jun 2019 - Jun 2019        20,841 members      "
Hachimitsu to Clover,8.05,"        TV (24 eps)        Apr 2005 - Sep 2005        223,320 members      "
Juuni Kokuki,8.05,"        TV (45 eps)        Apr 2002 - Aug 2003        118,505 members      "
Kamisama Hajimemashita,8.05,"        TV (13 eps)        Oct 2012 - Dec 2012        475,970 members      "
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.05,"        OVA (1 eps)        Jul 2017 - Jul 2017        265,077 members      "
Lovely★Complex,8.05,"        TV (24 eps)        Apr 2007 - Sep 2007        462,955 members      "
Magi: The Labyrinth of Magic,8.05,"        TV (25 eps)        Oct 2012 - Mar 2013        825,810 members      "
Nagi no Asu kara,8.05,"        TV (26 eps)        Oct 2013 - Apr 2014        491,680 members      "
Promare,8.05,"        Movie (1 eps)        May 2019 - May 2019        191,385 members      "
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.05,"        OVA (13 eps)        Nov 2002 - Jul 2003        47,175 members      "
Toaru Kagaku no Railgun S,8.05,"        TV (24 eps)        Apr 2013 - Sep 2013        313,853 members      "
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.05,"        TV (13 eps)        Apr 2013 - Jun 2013        1,070,612 members      "
Serial Experiments Lain,8.04,"        TV (13 eps)        Jul 1998 - Sep 1998        522,708 members      "
SK∞,8.04,"        TV (12 eps)        Jan 2021 - Apr 2021        284,290 members      "
Tokyo Magnitude 8.0,8.04,"        TV (11 eps)        Jul 2009 - Sep 2009        249,510 members      "
Akatsuki no Yona,8.04,"        TV (24 eps)        Oct 2014 - Mar 2015        640,067 members      "
Black Lagoon,8.04,"        TV (12 eps)        Apr 2006 - Jun 2006        754,310 members      "
Black Lagoon: Roberta's Blood Trail,8.04,"        OVA (5 eps)        Jun 2010 - Jun 2011        221,564 members      "
Boku no Hero Academia,8.04,"        TV (13 eps)        Apr 2016 - Jun 2016        2,176,889 members      "
Clannad,8.04,"        TV (23 eps)        Oct 2007 - Mar 2008        1,162,357 members      "
D.Gray-man,8.04,"        TV (103 eps)        Oct 2006 - Sep 2008        590,630 members      "
Detective Conan Movie 03: The Last Wizard of the Century,8.04,"        Movie (1 eps)        Apr 1999 - Apr 1999        53,130 members      "
Eve no Jikan (Movie),8.04,"        Movie (1 eps)        Mar 2010 - Mar 2010        109,288 members      "
High Score Girl II,8.04,"        TV (9 eps)        Oct 2019 - Dec 2019        93,524 members      "
Kaichou wa Maid-sama!,8.04,"        TV (26 eps)        Apr 2010 - Sep 2010        960,528 members      "
Kodomo no Omocha (TV),8.04,"        TV (102 eps)        Apr 1996 - Mar 1998        52,098 members      "
